"menuID","menuName","menuDisplayName","menuDescription","categoryID","categoryName","categoryDisplayName","categoryDescription","dishID","dishName","dishPrice","dishType","dishDescription","displayName","printName","tags","isCDNImage","imageCDNID","imageCDNFilename","imageExternalURL"
"2lMdLuyxz","WaxBrew Menu","WaxBrew /Textura Menu","Specialty coffee, vinyl & good vibes. Order ahead for pickup or enjoy at our place in Budva.","14373bc4","WAX SIGNATURE BREAKFAST","WAX SIGNATURE BREAKFAST","Our most popular choice. Coffee + bite, done right.","93aaf4e7","WAX Morning Duo",8,"standard","Artisan panini & cappuccino from our own roasted beans. The perfect pairing.","WAX Morning Duo","Sandwich+Cappuccino","","TRUE","a1a366d3-577b-4b6c-81d6-4ec6d7697bb1","breakfast_duo.jpg",""
"2lMdLuyxz","WaxBrew Menu","WaxBrew /Textura Menu","Specialty coffee, vinyl & good vibes. Order ahead for pickup or enjoy at our place in Budva.","14373bc4","WAX SIGNATURE BREAKFAST","WAX SIGNATURE BREAKFAST","Our most popular choice. Coffee + bite, done right.","HieOyOHQQ","WAX Morning Trio",11.5,"standard","The complete breakfast combo: artisan panini, a cappuccino from our own roasted beans, and a glass of freshly squeezed orange juice.","WAX Morning Trio","Sandwich+Cappuccino+Orange juice","","TRUE","58f12176-ff95-41c2-afea-512af5d5c915","breakfast_trio.jpg",""
"2lMdLuyxz","WaxBrew Menu","WaxBrew /Textura Menu","Specialty coffee, vinyl & good vibes. Order ahead for pickup or enjoy at our place in Budva.","14373bc4","WAX SIGNATURE BREAKFAST","WAX SIGNATURE BREAKFAST","Our most popular choice. Coffee + bite, done right.","FccrFNvGo"," WAX Morning Sweet",11,"standard","Savory meets sweet: sandwich with a cappuccino, finished with our homemade cherry almond tart baked fresh in-house every morning."," WAX Morning Sweet","Sandwich+Cappuccino+Tart","","TRUE","1066ab16-d043-4297-ae76-7ef983b2ce5c","breakfast_sweet.jpg",""
"2lMdLuyxz","WaxBrew Menu","WaxBrew /Textura Menu","Specialty coffee, vinyl & good vibes. Order ahead for pickup or enjoy at our place in Budva.","14373bc4","WAX SIGNATURE BREAKFAST","WAX SIGNATURE BREAKFAST","Our most popular choice. Coffee + bite, done right.","CPEdRkDbg","WAX Morning Full",14.5,"standard","Everything on the table: artisan sandwich, a cappuccino from our roasted beans, fresh-squeezed orange juice, and a homemade cherry almond tart. The ultimate WaxBrew morning.","WAX Morning Full","WAX Morning Full","","TRUE","89daeb29-df74-4cc8-b058-d786813f9d6c","breakfast_full.jpg",""
"2lMdLuyxz","WaxBrew Menu","WaxBrew /Textura Menu","Specialty coffee, vinyl & good vibes. Order ahead for pickup or enjoy at our place in Budva.","5ad40060","BLACK COFFEE","BLACK COFFEE","Pure coffee experience. Clean, bold, and precise.","43233d1c","Espresso",2,"standard","Rich and intense specialty coffee shot. Our own roasted beans. Right done.","Espresso","Espresso","","TRUE","1fd7c668-aa95-4721-a62e-7e56c8cbd1c6","______________________________.png",""
"2lMdLuyxz","WaxBrew Menu","WaxBrew /Textura Menu","Specialty coffee, vinyl & good vibes. Order ahead for pickup or enjoy at our place in Budva.","5ad40060","BLACK COFFEE","BLACK COFFEE","Pure coffee experience. Clean, bold, and precise.","f9826a74","Double Espresso",2.6,"standard","Double shot for a stronger experience.","Double Espresso","Double Espresso","","TRUE","b8d36f68-5627-4053-ba1a-5f31ad5cb2d9","_________________________________.png",""
"2lMdLuyxz","WaxBrew Menu","WaxBrew /Textura Menu","Specialty coffee, vinyl & good vibes. Order ahead for pickup or enjoy at our place in Budva.","5ad40060","BLACK COFFEE","BLACK COFFEE","Pure coffee experience. Clean, bold, and precise.","953f9a20","Americano",2.6,"standard","Smooth and balanced black coffee.","Americano","Americano","","TRUE","09048f03-2bb1-4469-aab7-b9d52db38b28","_____________________________.png",""
"2lMdLuyxz","WaxBrew Menu","WaxBrew /Textura Menu","Specialty coffee, vinyl & good vibes. Order ahead for pickup or enjoy at our place in Budva.","5ad40060","BLACK COFFEE","BLACK COFFEE","Pure coffee experience. Clean, bold, and precise.","58594583","Espresso Macchiato",2.6,"standard","Espresso with a touch of steamed milk.","Espresso Macchiato","Espresso Macchiato","","TRUE","4a6c622c-263b-4f32-a6fb-2c17e9a865c9","___________________________________.png",""
"2lMdLuyxz","WaxBrew Menu","WaxBrew /Textura Menu","Specialty coffee, vinyl & good vibes. Order ahead for pickup or enjoy at our place in Budva.","5ad40060","BLACK COFFEE","BLACK COFFEE","Pure coffee experience. Clean, bold, and precise.","dbb79dae","Lungo",2.6,"standard","Espresso extended with more water for a milder taste.","Lungo","Lungo","","TRUE","fd82ab82-637c-4a06-9645-007114ddbcbb","___________________________.png",""
"2lMdLuyxz","WaxBrew Menu","WaxBrew /Textura Menu","Specialty coffee, vinyl & good vibes. Order ahead for pickup or enjoy at our place in Budva.","5ad40060","BLACK COFFEE","BLACK COFFEE","Pure coffee experience. Clean, bold, and precise.","eac2e5d7","V60 Single Origin",4,"standard","Freshly brewed  V60 coffee. Rotating single origins from Ethiopia and beyond.","V60 Single Origin","V60 Single Origin","","TRUE","9fa94931-cac0-43f1-a5f8-faa7e4a07122","___________pour_over___________1_.png",""
